Column,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Age_Band_of_Driver,Sex_of_Driver,Driver_age_sex,Vehicle_Type
6724,2016133CT1179,Slight,2016-12-29,Thursday,Darkness - lights lit,1,2,4,West Yorkshire,Dry,One way street,None,30,17:25:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6725,2016133CV0778,Serious,2016-12-31,Saturday,Daylight,1,0,5,West Yorkshire,Dry,Single carriageway,None,40,14:20:00,Rural,Fine no high winds,21 - 25,Female,21 - 25_Female,9
6727,2016140037421,Slight,2016-01-01,Friday,Darkness - lights lit,1,0,4,South Yorkshire,Wet or damp,Dual carriageway,None,30,02:30:00,Urban,Fine no high winds,16 - 20,Male,16 - 20_Male,9
6729,2016140037640,Slight,2016-01-02,Saturday,Darkness - lights lit,1,0,1,South Yorkshire,Wet or damp,Single carriageway,None,30,18:15:00,Urban,Raining no high winds,Over 75,Male,Over 75_Male,9
6731,2016140038300,Slight,2016-01-01,Friday,Darkness - lights lit,2,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,18:30:00,Urban,Raining no high winds,66 - 75,Male,66 - 75_Male,9
6732,2016140038454,Slight,2016-01-07,Thursday,Darkness - lights lit,1,2,4,South Yorkshire,Wet or damp,Single carriageway,None,30,07:30:00,Urban,Raining no high winds,26 - 35,Male,26 - 35_Male,9
6733,2016140038565,Slight,2016-01-08,Friday,Daylight,1,0,0,South Yorkshire,Dry,Single carriageway,None,60,10:30:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
6734,2016140038614,Serious,2016-01-08,Friday,Daylight,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,12:00:00,Urban,Fine no high winds,Over 75,Male,Over 75_Male,9
6736,2016140038709,Serious,2016-01-09,Saturday,Darkness - lights lit,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,20:44:00,Urban,Raining no high winds,46 - 55,Male,46 - 55_Male,9
6737,2016140039169,Slight,2016-01-09,Saturday,Darkness - lights lit,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,18:38:00,Urban,Raining no high winds,36 - 45,Male,36 - 45_Male,9
6738,2016140039449,Slight,2016-01-09,Saturday,Daylight,1,0,1,South Yorkshire,Wet or damp,Single carriageway,None,30,15:26:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
